COD0001,Espresso Single,اسبريسو ,7oz,-,-,7.83,1.17,9
COD0002,Macchaito Single,ميكاتو ساخنه,7oz,-,-,6.96,1.04,8
COD0003,Turkish Coffee (S),قهوة تركي (S),7oz,-,-,6.96,1.04,8
COD0004,Turkish Coffee w/Milk (S),قهوة تركي بالحليب (S),7oz,-,-,7.83,1.17,9
COD0005,Espresso Double,اسبريسو (D),7oz,-,-,10.44,1.57,12.01
COD0006,Macchaito Double,ميكاتو ساخنه (D),7oz,-,-,9.57,1.44,11.01
COD0007,Cortado,كورتادو ,7oz,-,-,8.7,1.31,10.01
COD0008,Turkish Coffee w/Milk (M),قهوة تركي بالحليب وسط,-,8oz,-,11.3,1.7,13
COD0009,Flat White,فالات وايت,-,8oz,-,9.57,1.44,11.01
COD0010,Cappuccino (M),كابتشينو وسط,-,8oz,-,9.57,1.44,11.01
COD0011,Latte (M),لاتيه وسط,-,8oz,-,9.57,1.44,11.01
COD0012,Latte Toffee (M),توفي لاتية وسط,-,8oz,-,9.57,1.44,11.01
COD0013,French Latte (M),لاتيه فرنسي وسط,-,8oz,-,9.57,1.44,11.01
COD0014,Caramel Macchiato (M),كراميل ميكاتو وسط,-,8oz,-,9.57,1.44,11.01
COD0015,Dark Mocha (M),دارك موكا وسط,-,8oz,-,12.17,1.83,14
COD0016,White Mocha (M),وايت موكا وسط,-,8oz,-,12.17,1.83,14
COD0017,Nescafe (M),نسكافية وسط,-,8oz,-,2.61,0.39,3
COD0018,Nescafe w/Milk (M),نسكافية بالحليب وسط,-,8oz,-,4.35,0.65,5
COD0019,Arabic Coffee (M),قهوة عربي وسط,-,8oz,-,6.96,1.04,8
COD0020,Coffee Mate (M),كوفي ميت وسط,-,8oz,-,6.96,1.04,8
COD0021,Hot Chocolate (M),شوكلاته ساخنه وسط,-,8oz,-,7.83,1.17,9
COD0022,French Coffee (M),قهوة فرني وسط,-,8oz,-,8.7,1.31,10.01
COD0023,French Coffee w/Milk (M),قهوة فرني بالحليب وسط,-,8oz,-,9.57,1.44,11.01
COD0024,Cappuccino (L),كابتشينو كبير,-,-,12oz,11.3,1.7,13
COD0025,Latte (L),لاتيه كبير,-,-,12oz,11.3,1.7,13
COD0026,Latte Toffee (L),توفي لاتية كبير,-,-,12oz,11.3,1.7,13
COD0027,French Latte (L),لاتيه فرنسي كبير,-,-,12oz,11.3,1.7,13
COD0028,Caramel Macchiato (L),كراميل ميكاتو كبير,-,-,12oz,11.3,1.7,13
COD0029,Dark Mocha (L),دارك موكا كبير,-,-,12oz,14.78,2.22,17
COD0030,White Mocha (L),وايت موكا كبير,-,-,12oz,14.78,2.22,17
COD0031,Nescafe (L),نسكافية كبير,-,-,12oz,4.35,0.65,5
COD0032,Nescafe w/Milk (L),نسكافية بالحليب كبير,-,-,12oz,6.09,0.91,7
COD0033,Arabic Coffee (L),قهوة عربي كبير,-,-,12oz,9.57,1.44,11.01
COD0034,Coffee Mate (L),كوفي ميت كبير,-,-,12oz,9.57,1.44,11.01
COD0035,Hot Chocolate (L),شوكلاته ساخنه كبير,-,-,12oz,10.44,1.57,12.01
COD0036,French Coffee (L),قهوة فرني كبير,-,-,12oz,11.3,1.7,13
COD0037,French Coffee w/Milk (L),قهوة فرني بالحليب كبير,-,-,12oz,12.17,1.83,14
COD0038,Americano,امريكانو كبير,-,-,12oz,9.57,1.44,11.01
COD0039,Spanish Latte,لاتيه اسبانية كبير,-,-,12oz,11.3,1.7,13
